"location_id","province","city","2018Q4","2019Q1","2019Q4","2020Q1","2020Q4","2021Q1","2021Q1_vs_2019Q1_str","2020Q4_vs_2019Q4_str","2021Q1_vs_2019Q1","2020Q4_vs_2019Q4"
"qitaihe_chn.11_1_cn","Heilongjiang","Qitaihe",27.5925786001015,55.0747621441615,33.4752619545261,42.2155358944628,32.4959199093363,42.9947460551572,"-21.9%","-2.9%",-0.219338506762572,-0.0292556947431866
"quanzhou_chn.4_1_cn","Fujian","Quanzhou",21.6906025642022,30.4980641144335,26.652497534041,28.6485181212859,17.5753140697627,30.847696796657,"1.1%","-34.1%",0.0114640942753479,-0.340575342055083
"qujing_chn.30_1_cn","Yunnan","Qujing",20.7711025368281,22.1293944970757,21.3816810766713,26.4475207589105,21.0937749570891,34.0829843727126,"54%","-1.3%",0.540167959734127,-0.0134650834305216
"quzhou_chn.31_1_cn","Zhejiang","Quzhou",35.3372716796232,37.4846656398205,40.9559584439007,27.4997218692462,31.4542647463154,29.8487546459358,"-20.4%","-23.2%",-0.203707592519457,-0.231997835201446
"rizhao_chn.23_1_cn","Shandong","Rizhao",47.1997461013529,72.5625595995648,50.8503806307598,50.7191661418283,46.2876311729499,49.196695287646,"-32.2%","-9%",-0.322009924138053,-0.0897289145373646
"rongcheng_chn.23_1_cn","Shandong","Rongcheng",22.4718497836302,36.0963857515689,25.8052261357589,28.8277494664047,19.581572211287,23.1351537584904,"-35.9%","-24.1%",-0.359072846857392,-0.241178042452711
"rushan_chn.23_1_cn","Shandong","Rushan",29.3849972194144,40.632507652746,28.0927950547209,30.3063385672945,29.9167152056439,37.6882818715358,"-7.2%","6.5%",-0.072459859144608,0.0649248373958609
"sanmenxia_chn.12_1_cn","Henan","Sanmenxia",66.7716513745993,92.6954311453757,64.8735731350767,75.0636811966609,58.1199418341018,63.6879439997343,"-31.3%","-10.4%",-0.31293329981009,-0.104104506266562
"sanming_chn.4_1_cn","Fujian","Sanming",23.9751630255293,24.1224558417894,29.8829016167351,22.8490447231044,25.4406980511376,33.4785546169442,"38.8%","-14.9%",0.387858468330014,-0.148653689075151
"sanya_chn.9_1_cn","Hainan","Sanya",16.5596007347912,14.664282724543,17.3561204795852,11.5567113796809,15.4912116420435,16.5191492303992,"12.6%","-10.7%",0.126488730522891,-0.107449636555312
"seaport_chn.9_1_cn","Hainan","Seaport",18.8484832016169,17.7832522397088,22.6415861107322,13.8655767096915,22.9267255397524,21.4467032199461,"20.6%","1.3%",0.206005680561462,0.0125936154660604
"shanghai_chn.24_1_cn","Shanghai","Shanghai",34.8454094148722,47.6110268273058,36.9822430690019,38.4526286251743,31.8934947426626,35.4467559540832,"-25.5%","-13.8%",-0.255492722669997,-0.137599775028374
