date,aqi,pm25,pm10,so2,co,no2,o3
17/12/2018,57,25,53,6,0.6,45,53
18/12/2018,67,27,58,6,0.8,53,53
19/12/2018,78,34,72,8,1,62,25
20/12/2018,93,51,93,11,1.2,74,10
21/12/2018,94,70,117,12,1.3,70,43
22/12/2018,66,34,82,7,0.8,41,53
23/12/2018,52,13,53,3,0.4,22,58
24/12/2018,78,51,93,10,1,62,19
25/12/2018,58,27,66,7,0.7,35,55
26/12/2018,33,9,26,4,0.4,26,50
27/12/2018,51,7,52,4,0.3,10,54
28/12/2018,39,9,39,4,0.4,19,50
29/12/2018,33,10,28,5,0.4,26,52
30/12/2018,47,15,32,4,0.5,37,42
31/12/2018,70,38,59,10,0.9,56,20
1/1/2019,45,28,45,8,0.7,34,47
2/1/2019,78,57,75,12,1,56,28
3/1/2019,162,123,136,21,1.9,82,12
4/1/2019,40,18,40,5,0.5,26,61
5/1/2019,47,17,34,7,0.5,37,49
6/1/2019,88,64,95,12,1.4,70,13
7/1/2019,55,34,54,9,0.9,44,52
8/1/2019,35,10,29,4,0.5,28,62
9/1/2019,74,41,66,12,0.9,59,26
10/1/2019,100,75,113,14,1.5,79,17
11/1/2019,135,103,130,15,1.7,80,21
12/1/2019,267,217,212,14,2.7,101,14
13/1/2019,169,128,183,6,1.7,64,58
14/1/2019,137,104,143,8,1.7,72,46
15/1/2019,54,9,57,4,0.3,18,61
16/1/2019,73,38,74,10,0.9,58,37
17/1/2019,78,45,77,13,1.2,62,34
18/1/2019,94,64,105,15,1.4,75,18
19/1/2019,33,11,33,5,0.5,24,59
20/1/2019,33,9,29,3,0.3,19,66
21/1/2019,57,24,63,6,0.6,44,62
22/1/2019,64,28,70,7,0.9,51,54
23/1/2019,60,23,53,6,0.7,48,56
24/1/2019,79,58,75,12,1.2,53,41
25/1/2019,32,10,32,4,0.5,21,61
26/1/2019,44,25,40,5,0.6,35,50
27/1/2019,76,49,102,9,1,45,67
28/1/2019,56,35,61,6,0.6,33,59
29/1/2019,139,106,140,17,1.5,76,24
30/1/2019,63,28,75,5,0.6,22,61
31/1/2019,30,13,27,5,0.5,20,59
1/2/2019,68,42,85,7,0.9,49,54
2/2/2019,142,108,137,8,1.4,55,29
3/2/2019,104,40,157,3,0.4,14,77
4/2/2019,78,46,106,6,0.8,27,58
5/2/2019,139,97,227,10,0.9,26,49
6/2/2019,78,53,105,14,1.1,22,57
7/2/2019,35,8,29,3,0.4,11,69
8/2/2019,46,25,46,6,0.5,18,64
9/2/2019,32,9,21,4,0.3,13,63
10/2/2019,39,27,39,6,0.5,24,52
11/2/2019,51,35,51,8,0.7,30,67
12/2/2019,52,30,54,7,0.8,25,52
13/2/2019,38,23,38,3,0.6,23,69
14/2/2019,72,52,60,5,0.9,32,47
15/2/2019,35,8,21,3,0.3,10,70
16/2/2019,38,8,19,3,0.3,13,75
17/2/2019,36,14,25,4,0.4,25,71
18/2/2019,59,31,42,7,0.7,47,45
19/2/2019,118,89,89,5,1,37,67
20/2/2019,64,46,39,5,0.6,32,74
21/2/2019,129,98,63,5,1.2,53,81
22/2/2019,132,100,85,6,1.3,61,60
23/2/2019,180,136,74,9,1.6,66,93
24/2/2019,104,78,41,6,1,49,77
25/2/2019,70,51,75,9,1,49,67
26/2/2019,73,52,79,10,0.9,58,58
27/2/2019,120,91,106,8,1.1,60,76
28/2/2019,109,82,102,7,1,55,87
1/3/2019,158,120,126,8,1.2,62,103
2/3/2019,233,183,155,9,1.4,65,131
3/3/2019,213,163,160,10,1.4,62,104
4/3/2019,143,109,107,6,1.1,54,91
5/3/2019,114,86,66,5,0.9,42,87
6/3/2019,42,8,22,2,0.3,16,84
7/3/2019,48,20,44,4,0.5,38,80
8/3/2019,79,58,103,9,0.8,59,88
9/3/2019,113,85,121,9,0.8,61,65
10/3/2019,145,111,133,5,1,55,70
11/3/2019,41,22,36,3,0.5,24,82
12/3/2019,39,4,26,2,0.3,11,77
13/3/2019,39,8,29,2,0.3,23,78
14/3/2019,43,7,43,3,0.3,23,79
15/3/2019,48,11,48,3,0.3,17,79
16/3/2019,56,23,61,4,0.5,38,76
17/3/2019,74,49,98,7,0.7,51,104
18/3/2019,134,102,144,10,0.9,74,112
19/3/2019,163,124,168,9,1,74,130
20/3/2019,85,63,101,5,0.7,39,83
21/3/2019,40,5,25,2,0.3,11,79
22/3/2019,41,7,32,2,0.2,18,82
23/3/2019,41,11,33,3,0.3,14,81
24/3/2019,69,36,87,6,0.4,44,79
25/3/2019,56,21,61,3,0.5,39,94
26/3/2019,85,47,120,9,0.8,44,85
27/3/2019,91,63,132,7,0.9,52,79
28/3/2019,58,24,65,7,0.5,28,61
29/3/2019,71,22,92,4,0.4,30,76
30/3/2019,40,5,26,3,0.2,9,79
31/3/2019,42,8,30,2,0.3,25,83
1/10/2019,70,51,79,3,0.8,23,0
2/10/2019,70,51,69,3,0.9,24,0
3/10/2019,89,56,82,2,0.8,22,146
4/10/2019,27,11,27,2,0.4,12,47
5/10/2019,23,6,16,2,0.3,18,0
6/10/2019,47,23,33,2,0.4,37,0
7/10/2019,54,38,52,2,0.6,35,0
8/10/2019,29,7,23,3,0.3,22,58
9/10/2019,55,31,55,4,0.5,44,69
10/10/2019,67,48,44,2,0.5,31,49
11/10/2019,59,42,57,4,0.8,45,35
12/10/2019,72,28,72,15,1.4,57,14
13/10/2019,55,23,51,4,0.9,44,17
14/10/2019,34,9,21,2,0.3,27,53
15/10/2019,49,16,32,2,0.4,39,46
16/10/2019,58,28,44,2,0.5,46,35
17/10/2019,74,54,53,2,0.8,51,8
18/10/2019,82,60,46,2,0.8,43,58
19/10/2019,163,124,86,2,1.2,58,42
20/10/2019,105,79,121,2,0.7,42,60
21/10/2019,55,17,54,3,0.5,44,43
22/10/2019,75,44,98,3,0.9,60,49
23/10/2019,104,78,120,4,1.1,67,95
24/10/2019,90,67,84,2,0.9,52,46
25/10/2019,30,8,20,2,0.4,24,55
26/10/2019,59,30,54,3,0.6,47,36
27/10/2019,73,53,80,3,0.8,58,38
28/10/2019,113,26,175,2,0.3,20,60
29/10/2019,68,32,85,4,0.6,54,44
30/10/2019,93,54,114,3,0.8,74,28
31/10/2019,74,36,84,3,0.9,59,66
1/11/2019,64,25,68,6,0.8,51,36
2/11/2019,64,29,49,2,0.7,51,13
3/11/2019,48,33,48,3,0.6,34,33
4/11/2019,67,48,57,2,0.8,44,34
5/11/2019,59,42,57,3,0.8,41,40
6/11/2019,73,46,71,2,0.7,58,19
7/11/2019,47,24,47,3,0.5,37,44
8/11/2019,70,39,73,3,0.8,56,26
9/11/2019,112,84,94,3,1,67,21
10/11/2019,67,31,84,2,0.4,23,60
11/11/2019,54,17,53,2,0.5,43,51
12/11/2019,92,50,92,6,0.9,73,18
13/11/2019,55,9,59,3,0.2,14,63
14/11/2019,62,25,57,5,0.6,49,22
15/11/2019,64,35,78,6,0.9,51,17
16/11/2019,65,47,80,9,1.3,52,13
17/11/2019,119,52,188,5,0.8,34,54
18/11/2019,74,19,98,2,0.3,20,53
19/11/2019,56,20,62,2,0.4,32,49
20/11/2019,87,61,124,8,0.9,69,15
21/11/2019,119,90,158,9,1.6,78,6
22/11/2019,183,138,181,9,2.4,94,5
23/11/2019,175,132,137,6,1.6,69,34
24/11/2019,30,7,30,3,0.2,11,58
25/11/2019,40,13,30,3,0.4,32,29
26/11/2019,73,38,72,6,0.8,58,14
27/11/2019,34,7,21,3,0.3,27,55
28/11/2019,75,39,69,11,1,60,17
29/11/2019,80,58,74,7,1,64,7
30/11/2019,72,52,39,3,0.7,35,59
1/12/2019,30,11,30,4,0.3,17,60
